name,u_switch_portsum,u_switch_portcount
gefreportprd,Global Environment Facility (GEF),1
fnopsmobileappqa,Operations Portal,1
fnopsmobileappsdev,WB External (AEM Platform),1
gefreportdev,Global Environment Facility (GEF),1
gefreportapiuat,Global Environment Facility (GEF),1
gefreportapiqa,Global Environment Facility (GEF),1
gefreportapiprd,Global Environment Facility (GEF),1
gefreportapidev,Global Environment Facility (GEF),1
gefportaluat,Global Environment Facility (GEF),1
gefportalqa,Global Environment Facility (GEF),1
gefportalprd,Global Environment Facility (GEF),1
genderportalappdev,Gender Portal,1
giveextportalqa,Governors Portal,1
fnopsdocarchivalsuat,Operations Portal,1
fnopsmobileappprod,Operations Portal,1
fnopsdocarchivaluat,Operations Portal,1
fnopsdocuploaddev,WB External (AEM Platform),1
fnopsdocuploadprod,Operations Portal,1
fnopsdocuploadqa,Operations Portal,1
fnopsdocuploaduat,Operations Portal,1
fnopsetldev,Operations Portal,1
giveportalqa,Governors Portal,1
giveportalprod,Governors Portal,1
giveportaldev,Governors Portal,1
giveextvotingqa,Governors Portal,1
giveextvotingprod,Governors Portal,1
giveextvotingisolateqa,Governors Portal,1
giveextvotingdev,Governors Portal,1
giveextvotingUAT,Governors Portal,1
fnopsetlprod,Operations Portal,1
fnopsetlqa,Operations Portal,1
fnopsmobileappdev,WB External (AEM Platform),1
fnstndrptspibintdev2,Standard Reports for Operations,1
fnprocessworkflowdev,Central Coding,1
fnstndrptspibintdev,Standard Reports for Operations,1
fnppfprd,Policy and Procedures Framework (PPF),1
fnppfaemqa,WB External (AEM Platform),1
fnppfaemprod,WB External (AEM Platform),1
fnppfaemdev,WB External (AEM Platform),1
fnpovertyportalsqlqa,Integrated Poverty Portal,1
fnpovertyportalsqlprod,Integrated Poverty Portal,1
fnpovertyportalqa,Integrated Poverty Portal,1
fnpovertyportalprod,Integrated Poverty Portal,1
fnpovertyportalemailqa,Integrated Poverty Portal,1
fnpovertyportalemailprod,Integrated Poverty Portal,1
fnpipelinemonitoringdev,WBG Portal - Business Intelligence Reporting Portal,1
fnpersonalizefeqa,Intranet,1
fnpersonalizefedev,Intranet,1
fnpersonalizebkndqa,Intranet,1
fnpersonalizebknddev,Intranet,1
fnopstfintegrationuat,Operations Portal,1
fnopstfintegrationqa,Operations Portal,1
fnopsmobileappsqa,Operations Portal,1
fnppfdev,Policy and Procedures Framework (PPF),1
fnppfqa,Policy and Procedures Framework (PPF),1
fnstndrptsembeddev,Standard Reports for Operations,1
fnppfuat,Policy and Procedures Framework (PPF),1
fnprocesshybriddocumentsprd,Operations Portal,1
fnprocesscubesqa,Development Data Hub 2.0,1
fnprocesscubedev,Development Data Hub 2.0,1
fnprocessapprovaluat,Operations Portal,1
fnprocessapprovalqa,Operations Portal,1
fnprocessapprovalprod,Operations Portal,1
fnprocessapprovaldev,WB External (AEM Platform),1
fnpramsuat,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpramsqa,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpramsprod,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpramsdev,Procurement Risk Assessment and Management Systems (PRAMS),1
fnppruat,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpprqa,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpprprod,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpprdev,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpprcontractsqa,Procurement Risk Assessment and Management Systems (PRAMS),1
fnpprcontractsdev,Procurement Risk Assessment and Management Systems (PRAMS),1
fnopstfintegrationprd,Operations Portal,1
fnopstfintegrationdev,WB External (AEM Platform),1
fnopstestappqa,Operations Portal,1
fnopsmobileappsuat,Operations Portal,1
fnopsplatformcrmprd,Operations Portal,1
fnopsplatformcrmqa,Operations Portal,1
fnopsprojectprovisionprod,Operations Portal,1
fnopsprojectprovisiondev,WB External (AEM Platform),1
fnopsportalspoqa,Operations Portal,1
fnopsplatformcrmuat,Operations Portal,1
fnopsportalspodev,Operations Portal,1
icsid-reports-web-prod,ICSID Dashboards and Reporting,1
fnopspltfrmsubscriberuat,Operations Portal,1
fnopspltfrmsearchuat,Operations Portal,1
fnopspltfrmluisuat,Operations Portal,1
fnopspltfrmdatabricksuat,Operations Portal,1
fnopsplatformsubscriberqa,Operations Portal,1
fnopsplatformluis,Operations Portal,1
fnopsplatformsubscriberdev,Operations Portal,1
fnopsplatformdatabricksqa,Operations Portal,1
fnopsplatformdatabricks,Operations Portal,1
fnopsplatformcrmdev,Operations Portal,1
fnopsprojectprovisionqa,Operations Portal,1
fnopsprojectprovisionuat,Operations Portal,1
fnopssendemaildev,WB External (AEM Platform),1
fnopssendemailv2dev,WB External (AEM Platform),1
fnopssendemailuat,Operations Portal,1
fnopssendemailsuat,Operations Portal,1
fnopssendemailsqa,Operations Portal,1
fnopssendemailsdev,WB External (AEM Platform),1
fnopssendemailqa,Operations Portal,1
fnopssendemailprod,Operations Portal,1
fnopsplatformsearchdev,Operations Portal,1
fnopssearch,Operations Portal,1
fnopssearchuat,Operations Portal,1
fnopsplatformsearchqa,Operations Portal,1
fnopssearchqa,Operations Portal,1
fnopsplatformsubscriber,Operations Portal,1
fnopssearchdev,Operations Portal,1
fnopsplatformluisdev,Operations Portal,1
fnopsmobileappuat,Operations Portal,1
fnprocesstfworkflowdev,eTrust Funds (eTF),1
fnprocesstfworkflowqa,eTrust Funds (eTF),1
fnprocessworkflow,eTrust Funds (eTF),1
fnsharepointsyncdev,Development Data Hub 2.0,1
fnspwebhookSubscriptiondev,Intranet,1
fnsponewsletterqa,Automated News Letter Filing to SharePoint Online -Monitoring and Collaboration,1
fnsponewsletterprd,Automated News Letter Filing to SharePoint Online -Monitoring and Collaboration,1
fnspfilespushfifsqa,Documentum Archive Platform,1
fnspfilespushfifsprod,Documentum Archive Platform,1
fnspfilespushfifs,Documentum Archive Platform,1
fnspfilescreateqa,WBG Collaboration Platform (Sharepoint Online),1
fnspfilescreateprd,WBG Collaboration Platform (Sharepoint Online),1
fnspdocseventsuat,Operations Portal,1
fnspdocseventsqa,Operations Portal,1
fnspdocseventsprd,Operations Portal,1
fnsolorchestqa,Data Collection System,1
fnsolorchestprod,Survey Data Management System,1
fnsolorchestdev,Statistics Online,1
fnsoapingestionqa,DataBank (WDI byproduct),1
fnsoapingestiondev,DataBank (WDI byproduct),1
fnsmartguidedev,OPCS Smart Guidance System,1
fnspwebhookSubscriptionprd,Intranet,1
fnspwebhookSubscriptionqa,Intranet,1
fnsrmdtsmaindev,SRM Archive ReadOnly,1
fnstdrptsrptqa,Standard Reports for Operations,1
fnstndrptscmsintuat,Standard Reports for Operations,1
fnstndrptscmsintqa,Standard Reports for Operations,1
fnstndrptscmsintprod,Standard Reports for Operations,1
fnstndrptscmsintdev,Standard Reports for Operations,1
fnstepdocantivirusscanuat,Systematic Tracking of Exchanges in Procurement (STEP),1
fnstepdocantivirusscanqa,Systematic Tracking of Exchanges in Procurement (STEP),1
fnstepdocantivirusscanprd,Systematic Tracking of Exchanges in Procurement (STEP),1
fnstdrptsrptdev,Standard Reports for Operations,1
fnsrmdtsmainprd,SRM Archive ReadOnly,1
fnsrmrendererqa,Documentum Archive Platform,1
fnsrmrendererprd,SRM Archive ReadOnly,1
fnsrmrendererdev,SRM Archive ReadOnly,1
fnsrmrdtsuplodploadqa,Documentum Archive Platform,1
fnsrmrdtsuplodploadprd,SRM Archive ReadOnly,1
fnsrmrdtsuplodploaddev,SRM Archive ReadOnly,1
fnsrmdtsmainqa,Documentum Archive Platform,1
fnsharepointsyncqa,Development Data Hub 2.0,1
fnsfpportaluat,eTrust Funds (eTF),1
fnopsplatformdatabricksdev,Operations Portal,1
fnsfpportalqa,eTrust Funds (eTF),1
fnrecommendapi,Intranet,1
fnprsuploadqa,Documentum Archive Platform,1
fnprsuploadprd,Documentum Archive Platform,1
fnprsuploaddev,Internal Justice Unit Case Management System - Peer Review Services (IJS-PRS),1
fnprsmainqa,Documentum Archive Platform,1
fnprsmainprd,Documentum Archive Platform,1
fnprsmaindev,Internal Justice Unit Case Management System - Peer Review Services (IJS-PRS),1
fnprsfoldertableqa,Documentum Archive Platform,1
fnprsfoldertableprd,Documentum Archive Platform,1
fnprsfoldertabledev,Internal Justice Unit Case Management System - Peer Review Services (IJS-PRS),1
fnprogramportaluat,eTrust Funds (eTF),1
fnprogramportalqa,eTrust Funds (eTF),1
fnprogramportaldev,eTrust Funds (eTF),1
fnprogramportalapiqa,eTrust Funds (eTF),1
fnprogramportal,eTrust Funds (eTF),1
fnprocessworkflowuat,eTrust Funds (eTF),1
fnprocessworkflowqa,Central Coding,1
fnrenderingdev,Documentum Archive Platform,1
fnrisklistdev,Risk List - Mobile,1
fnrisklistprod,Risk List - Mobile,1
fnselfdataprtlprd,Self Service Portal,1
fnsfpportalprod,eTrust Funds (eTF),1
fnsfpportaldev,eTrust Funds (eTF),1
fnsessionmanagerqa,Data Collection System,1
fnsessionmanagerprod,Survey Data Management System,1
fnsessionmanagerdev,Statistics Online,1
fnsentimentqa,WB Enterprise Search Platform,1
fnselfdataprtlqa,Self Service Portal,1
fnopsplatformsearch,Operations Portal,1
fnrisklistqa,Risk List - Mobile,1
fnselfdataprtldev,Self Service Portal,1
fnsecfilingprod,Documentum Archive Platform,1
fnsecfilingdev,Documentum Archive Platform,1
fnsdmxharvestqa,DataBank (WDI byproduct),1
fnsdmxharvestprod,DataBank (WDI byproduct),1
fnsdmxharvestdev,DataBank (WDI byproduct),1
fnrisklistuat,Risk List - Mobile,1
icsid-reports-service-prod,ICSID Dashboards and Reporting,1
ADF_Failure_Notification,Global Trade Supplier Finance (GTSF),1
icsidapiqa,International Centre for Settlement of Investment Disputes (ICSID) Website,1
itsdt-ddhext-sqlsrvr-dev,Development Data Hub 2.0,1
itsdtopssearchapiuat,Operations Portal,1
itsdtopssearchapiqa,Operations Portal,1
itsdtopssearchapidev,Operations Portal,1
itsdtopssearchapi,Operations Portal,1
itsdt-srmportal-sqlsrvr-qa,Documentum Archive Platform,1
itsdt-srmportal-sqlsrvr-prd,SRM Archive ReadOnly,1
itsdt-rap-sqlsrvr-dev,Resettlement Action Plan Monitoring (RAP),1
itsdt-prs-sqlsrvr-qa,Documentum Archive Platform,1
itsdt-prs-sqlsrvr-prd,Documentum Archive Platform,1
itsdt-powerbi-sqlsrvr-dev,BI Reporting,1
itsdt-platforms-sofia-01,License Management System for Dynamics 365,1
itsdt-opsportclb-sqlsrvr-qa,Operations Portal,1
itsdt-opsportalcrm-sqlsrvr-prd,Operations Portal,1
itsdt-opsplatform-bot-qa,Operations Portal,1
itsdt-opspfext-sqlsrvr-uat,Operations Portal,1
itsdt-opspfext-sqlsrvr,Operations Portal,1
itsdt-opspfcrm-sqlsrvr-uat,Operations Portal,1
itsdtpowerbiappdev,BI Reporting,1
itses-cgapportal-sqlsrvr-dev,CGAP Portal,1
itses-cgapportal-sqlsrvr-qa,CGAP Portal,1
itses-ext-giveportal-sqlsrvr-qa,Governors Portal,1
itses-foodsecurity-sqlsrvr-qa,Food Security Information Hub,1
itses-foodsecurity-sqlsrvr-prod,Food Security Information Hub,1
itses-foodsecurity-sqlsrvr-dev,Food Security Information Hub,1
itses-externalwebapi-sqlsrvr-qa,Data Collection System,1
itses-externalwebapi-sqlsrvr-prd,Data Collection System,1
itses-externalwebapi-sqlsrvr-dev,WB External Search Platform (Solr),1
itses-ext-giveportal-sqlsrvr-uat,Governors Portal,1
itses-ext-giveportal-sqlsrvr-prod,Governors Portal,1
itses-dap-sqlsrvr-dev,Development Data Hub 2.0,1
itses-ext-giveportal-sqlsrvr-dev,Governors Portal,1
itses-developmentdataextensions-qa,OpenData API,1
itses-developmentdataextensions-prod,OpenData API,1
itses-developmentdataextensions-dev,OpenData API,1
itses-datapartnership-sqlsrvr-qa,Development Data Hub,1
itses-datapartnership-sqlsrvr-prod,Development Data Hub,1
itses-dap-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-opspfcrm-sqlsrvr-qa,Operations Portal,1
itsdt-opspfcrm-sqlsrvr-dev,Operations Portal,1
itsdt-opspf-sqlsrvr-uat,Operations Portal,1
itsdt-drc-sqlsrvr-prod,Development Data Hub 2.0,1
itsdt-egfiorbis-sqlsrvr-prd,WB Data Science Platform (DataBricks),1
itsdt-dynamicprtldb-sqlsrvr-dev,Dynamic Portfolio Identification,1
itsdt-drcstc-sqlsrvr-uat,Development Data Hub 2.0,1
itsdt-drcstc-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-drcsearchc-sqlsrvr-ua,Development Data Hub 2.0,1
itsdt-drcsearchc-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-drc-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-drc-sqlsrvr-dev,Development Data Hub 2.0,1
itsdt-fsapdb-sqlsrvr-dev,Development Data Hub 2.0,1
itsdt-drc-sqlsrvr,Development Data Hub 2.0,1
itsdt-docusignbackup-sqlsrvr-qa,DocuSign Reporting Dashboard,1
itsdt-docusignbackup-sqlsrvr-prd,DocuSign Reporting Dashboard,1
itsdt-docusignbackup-sqlsrvr-dev,DocuSign Reporting Dashboard,1
itsdt-ddhint-sqlsrvr-uat,Development Data Hub 2.0,1
itsdt-ddhext-sqlsrvr-uat,Development Data Hub 2.0,1
itsdt-ddhext-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-esfint-sqlsrvr,Environmental and Social Framework Search Tool,1
itsdt-fsapdb-sqlsrvr-prd,Development Data Hub 2.0,1
itsdt-opspf-sqlsrvr-qa,Operations Portal,1
itsdt-ops-etl-sqlsrvr-prod,Operations Portal,1
itsdt-opspf-sqlsrvr-dev,Operations Portal,1
itsdt-opspf-sqlsrvr,Operations Portal,1
itsdt-ops-search-sqlsrvr-uat,Operations Portal,1
itsdt-ops-search-sqlsrvr-qa,Operations Portal,1
itsdt-ops-search-sqlsrvr-dev,Operations Portal,1
itsdt-ops-search-sqlsrvr,Operations Portal,1
itsdt-ops-etl-sqlsrvr-qa,Operations Portal,1
itsdt-ops-etl-sqlsrvr-dev,Operations Portal,1
itsdt-fsapdb-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-medappcrm-sqlsrvr-qa,Development Data Hub 2.0,1
itsdt-isearch-admin-sqlsrvr-qa,WB Enterprise Search Platform,1
itsdt-internalsearch-sqlsrvr-qa,WB Enterprise Search Platform,1
itsdt-internalsearch-sqlsrvr-prd,WB Enterprise Search Platform,1
itsdt-internalsearch-sqlsrvr-dev,WB External Search Platform (Solr),1
itsdt-genderportal-sqlsrvr-dev,Gender Portal,1
itsdt-gcsdata-sqlsrvr-dev,WB Enterprise Search Platform,1
itses-gefportal-sqlsrvr-dev,Global Environment Facility (GEF),1
itses-gefportal-sqlsrvr-prd,Global Environment Facility (GEF),1
itses-gefportal-sqlsrvr-qa,Global Environment Facility (GEF),1
itsks-dps-sqlsrvr-qa,Documentum Archive Platform,1
itsks-intranet-sqlsrvr-dev,Intranet,1
itsks-intcontproplat-sqlsrvr-uat,Intelligent Content Processing,1
itsks-intcontproplat-sqlsrvr-qa,Intelligent Content Processing,1
itsks-intcontproplat-sqlsrvr-dev,Intelligent Content Processing,1
itsks-intcontproplat-logicapp-dev,Intelligent Content Processing,1
itsks-intcontentprocessing-neptunedb-dev,Intelligent Content Processing,1
itsks-dps-sqlsrvr-uat,Documentum Archive Platform,1
itsks-dps-sqlsrvr-prod,Documentum Archive Platform,1
itsks-intranet-sqlsrvr-qa,Intranet,1
itsks-bulletinboard-sqlsrvr-qa,WBG Bulletin Board,1
itsks-bulletinboard-sqlsrvr-prd,WBG Bulletin Board,1
itsks-bulletinboard-sqlsrvr-dev,WBG Bulletin Board,1
itsia-si-eips-azfunction,Enterprise Infrastructure Provisioning System,1
itsfiprodacr,Created the CI as the cloud resource cannot be fetch through discovery . Confirmed by HI support as per Ticket CS6157277 that the cloud resource is not supported.,1
itsfi-prod-aks1,Created the CI as the cloud resource cannot be fetch through discovery . Confirmed by HI support as per Ticket CS6157277 that the cloud resource is not supported.,1
itsessecurityservicesqa,DataBank (WDI byproduct),1
itsks-intranet-sqlsrvr-prod,Intranet,1
itsks-olc-db-prod,Open Learning Campus,1
itsessecurityservicesdev,DataBank (WDI byproduct),1
itsks-search-sqlsrvr-prd,WB Enterprise Search Platform,1
itsksdpmsfeprd,Digital Product Management System,1
itsksdpmsfedev,Digital Product Management System,1
itsksdpmsapiqa,Digital Product Management System,1
itsksdpmsapidev,Digital Product Management System,1
itsksapttusclmintdevdb,Legal Operations Contract Lifecycle Management (CLM),1
itsks-srmportal-sqlsrvr-dev,SRM Archive ReadOnly,1
itsks-search-sqlsrvr-qa,WB Enterprise Search Platform,1
itsks-search-sqlsrvr-dev,WB Enterprise Search Platform,1
itsks-onecms-sqlsrvr-dev,Intranet,1
itsks-prs-sqlsrvr-dev,Internal Justice Unit Case Management System - Peer Review Services (IJS-PRS),1
itsks-onecmssearch-webapp-prd,Intranet,1
itsks-onecmssearch-sql-prd,Intranet,1
itsks-onecmsbot-sqlsrvr-qa,Development Data Hub 2.0,1
itsks-onecmsbot-sqlsrvr-prd,Development Data Hub 2.0,1
itsks-onecmsbot-sqlsrvr-dev,Development Data Hub 2.0,1
itsks-onecms-sqlsrvr-prod,Intranet,1
itsessecurityservicesprod,DataBank (WDI byproduct),1
itsesmlapidev,Development Data Computation,1
itses-gefportal-sqlsrvr-uat,Global Environment Facility (GEF),1
itses-povertyportal-int-sqlsrvr-prod,Integrated Poverty Portal,1
itses-sqlsrvr,CGAP Portal,1
itses-solusers-sqlsrvr-prod,Survey Data Management System,1
itses-sol-sqlsrvr-qa,Data Collection System,1
itses-sol-sqlsrvr-dev,Statistics Online,1
itses-povertyportal-sqlsrvr-qa,Integrated Poverty Portal,1
itses-povertyportal-sqlsrvr-prod,Integrated Poverty Portal,1
itses-povertyportal-int-sqlsrvr-qa,Integrated Poverty Portal,1
itses-opendataextensions-qa,OpenData API,1
itses-sqlsrvr-qa,CGAP Portal,1
itses-opendataextensions-prod,OpenData API,1
itses-opendataextensions-dev,OpenData API,1
itses-opendata-sqlsrvr-qa,OpenData API,1
itses-giveportal-sqlsrvr-uat,Governors Portal,1
itses-giveportal-sqlsrvr-qa,Governors Portal,1
itses-giveportal-sqlsrvr-prod,Governors Portal,1
itses-giveportal-sqlsrvr-dev,Governors Portal,1
itses-sqlsrvr-dev,Governors Portal,1
itses-surveysystemconf-sqlsrvr-prd,Survey Data Management System,1
itsesdatabankuiqa,DataBank (WDI byproduct),1
itsesdatabankapiprod,DataBank (WDI byproduct),1
itsesdatabankuiprod,DataBank (WDI byproduct),1
fnopscollabuat,Operations Portal,1
itsesdatabankuidev,DataBank (WDI byproduct),1
itsesdatabankonlinetablesqa,DataBank (WDI byproduct),1
itsesdatabankonlinetablesdev,DataBank (WDI byproduct),1
itsesdatabankonlinetableprd,DataBank (WDI byproduct),1
itsesdatabankapiqa,DataBank (WDI byproduct),1
itsesdatabankapidev,DataBank (WDI byproduct),1
itses-surveysystemconf-sqlsrvr-qa,Survey Data Management System,1
itsesdapuiqa,Development Data Hub 2.0,1
itsesdapuidev,Development Data Hub 2.0,1
itsesdapapiqa,Development Data Hub 2.0,1
itsesdapapidev,Development Data Hub 2.0,1
itses-wits-qna-qa,World Integrated Trade Solution (WITS),1
itses-wits-qna-prod,World Integrated Trade Solution (WITS),1
itses-wits-qna-dev,World Integrated Trade Solution (WITS),1
itsdt-ddhext-sqlsrvr-prd,Development Data Hub 2.0,1
itsdt-dataminingspo-sqlsrvr-qa,Knowledge Package,1
icsidapiuat,International Centre for Settlement of Investment Disputes (ICSID) Website,1
itsdt-dataminingspo-sqlsrvr-prd,Knowledge Package,1
ifcgtsfkvuat,"Global Trade Supplier Finance (GTSF),",1
ifcgtsfkvqa2,"Global Trade Supplier Finance (GTSF),",1
ifcgtsfkvqa1,"Global Trade Supplier Finance (GTSF),",1
ifcgtsfkvqa,"Global Trade Supplier Finance (GTSF),",1
ifcgtsfkvprod,"Global Trade Supplier Finance (GTSF),",1
ifcgtsfkvdev,"Global Trade Supplier Finance (GTSF),",1
ifcgtsffuncstorageuat,Global Trade Supplier Finance (GTSF),1
ifcgtsffuncstorageqa,Global Trade Supplier Finance (GTSF),1
ifcgtsffuncstorageprod,Global Trade Supplier Finance (GTSF),1
ifcgtsffuncstoragedev,Global Trade Supplier Finance (GTSF),1
ifcgtsfdbuat,Global Trade Supplier Finance (GTSF),1
ifcgtsfdbqa,Global Trade Supplier Finance (GTSF),1
ifcgtsfdbprod,Global Trade Supplier Finance (GTSF),1
ifcgtsfdbdev,Global Trade Supplier Finance (GTSF),1
ifcgtsfcdnblobuat,Global Trade Supplier Finance (GTSF),1
ifcgtsfcdnblobqa,Global Trade Supplier Finance (GTSF),1
ifcgtsfcdnblobprod,Global Trade Supplier Finance (GTSF),1
ifcgtsfscfblobstorage,Global Trade Supplier Finance (GTSF),1
ifcgtsfstoragedev,Global Trade Supplier Finance (GTSF),1
ifcgtsfstorageprod,Global Trade Supplier Finance (GTSF),1
ifcl2smba1,"Integrated Risk Repository (IRR),EC Tool (Economic Capital Dashboard),Financial Sustainability Reporting System (FSRS),Market and Counterparty Credit Risk System (MCRS) - Compliance Guidelines,Market and Counterparty Credit Risk System (MCRS) - Liquid Asset Management Pricing",1
ifcprodmalenakvext,Global Trade Supplier Finance (GTSF),1
ifcprodmalenakv,"Global Trade Supplier Finance (GTSF),",1
ifcouoasp-dev-Linux,"Global Trade Supplier Finance (GTSF),",1
ifcopprodpdmz-ndac-prod,Nominee Directorship / Advisory Committee (NDAC) Database,1
ifcmalenakvqa,"Global Trade Supplier Finance (GTSF),",1
ifcmalenakv,"Global Trade Supplier Finance (GTSF),",1
ifcl2smba2,"EC Tool (Economic Capital Dashboard),Financial Sustainability Reporting System (FSRS),Integrated Risk Repository (IRR),Market and Counterparty Credit Risk System (MCRS) - Liquid Asset Management Pricing,Market and Counterparty Credit Risk System (MCRS) - Compliance Guidelines",1
ifcl1smpa2,"Integrated Risk Repository (IRR),EC Tool (Economic Capital Dashboard),Financial Sustainability Reporting System (FSRS),Market and Counterparty Credit Risk System (MCRS) - Compliance Guidelines,Market and Counterparty Credit Risk System (MCRS) - Liquid Asset Management Pricing",1
ifcgtsfstorageqa,Global Trade Supplier Finance (GTSF),1
ifcl1smpa1,"EC Tool (Economic Capital Dashboard),Integrated Risk Repository (IRR),Financial Sustainability Reporting System (FSRS),Market and Counterparty Credit Risk System (MCRS) - Compliance Guidelines,Market and Counterparty Credit Risk System (MCRS) - Liquid Asset Management Pricing",1
ifckpscmlfunctionqa,Environmental and Social Review Database (ESRD),1
ifckpscapi-prod-ai,Environmental and Social Review Database (ESRD),1
ifcgtsftemp,Global Trade Supplier Finance (GTSF),1
ifcgtsfstorageuat,Global Trade Supplier Finance (GTSF),1
ifcgtsfstorageqa2,Global Trade Supplier Finance (GTSF),1
ifcgtsfstorageqa1,Global Trade Supplier Finance (GTSF),1
ifcgtsfcdnblobdev,Global Trade Supplier Finance (GTSF),1
ifc-search-asp-stg,Global Trade Supplier Finance (GTSF),1
ifc-knwldgepack-prod-ai,Environmental and Social Review Database (ESRD),1
ifc-csip-dev-ai,Global Trade Supplier Finance (GTSF),1
ifc-fab-log-analytics-qa,Global Trade Supplier Finance (GTSF),1
ifc-fab-log-analytics-prod,Global Trade Supplier Finance (GTSF),1
ifc-fab-log-analytics-dev,Global Trade Supplier Finance (GTSF),1
ifc-employable-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-employable-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-csip-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-csip-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-cfapps-test-ai,Global Trade Supplier Finance (GTSF),1
ifc-fsrsmobile-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-cfapps-dev-ai-decomissioned,Global Trade Supplier Finance (GTSF),1
ifc-cfa-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-cfa-new-dev-ai,Global Trade Supplier Finance (GTSF),1
idaanalysisservices,Created the CI as the cloud resource cannot be fetch through discovery . Confirmed by HI support as per Ticket CS6157277 that the cloud resource is not supported.,1
icsidfeuat,International Centre for Settlement of Investment Disputes (ICSID) Website,1
icsidfeqa,International Centre for Settlement of Investment Disputes (ICSID) Website,1
icsidfedev,International Centre for Settlement of Investment Disputes (ICSID) Website,1
ifc-fab-log-analytics-stage,Global Trade Supplier Finance (GTSF),1
ifc-fsrsmobile-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-ipar-services-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-idesk-dots-prod-ai,Environmental and Social Review Database (ESRD),1
ifc-ipar-main-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-investranbem-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-investranbem-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-investranbem-dev-ai,Global Trade Supplier Finance (GTSF),1
ifc-investranbem-bem.ifc.org-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-integratedportfolioreview-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-integratedportfolioreview-ipar-dev-ai,Global Trade Supplier Finance (GTSF),1
ifc-idesk-crrforfunds-qa-ai,Environmental and Social Review Database (ESRD),1
ifc-gtsf-dev-ai,Global Trade Supplier Finance (GTSF),1
ifc-icra-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-icra-prod-ai,Global Trade Supplier Finance (GTSF),1
ifc-icra-dev-ai,Global Trade Supplier Finance (GTSF),1
ifc-ibis-qa-ai,Environmental and Social Review Database (ESRD),1
ifc-gtsf-uat-ai,Global Trade Supplier Finance (GTSF),1
ifc-gtsf-qa-ai,Global Trade Supplier Finance (GTSF),1
ifc-gtsf-prod-ai,Global Trade Supplier Finance (GTSF),1
ifcscasp-dev,Global Trade Supplier Finance (GTSF),1
ifcsearchdev,IFC Search,1
ifctrustfundsapidev,eTrust Funds (eTF),1
itsda-pdmz-prod-wbg-dataservices-cacheclear,WB CDN Solution (AWS),1
itsda-surveys-logicapps-qa1,Corporate Scorecard,1
itsda-surveys-logicapps-dev1,Corporate Scorecard,1
itsda-slfdatartl-sqlsrvr-qa,Self Service Portal,1
itsda-slfdatartl-sqlsrvr-prd,Self Service Portal,1
itsda-slfdatartl-sqlsrvr-dev,Self Service Portal,1
itsda-pdmz-uat-wbg-dataservices-uat-cacheclear,WB CDN Solution (AWS),1
itsda-pdmz-uat-wbg-dataservices-uat-authenticator,WB CDN Solution (AWS),1
itsda-pdmz-prod-wbg-dataservices-authenticator,WB CDN Solution (AWS),1
itsdaselfdataprtlapidev,Self Service Portal,1
itsda-hridr-sqlsrvr-dev,Human Resource - Integrated Data Repository (HR - IDR),1
itsda-dpm-sqlsrvr-qa,WBG Master Data Management Platform (Informatica),1
itsda-devopssql-sqlsrvr-qa,BI Projects - BI Team Reporting Portal,1
itsda-devopssql-sqlsrvr-dev,BI Projects - BI Team Reporting Portal,1
isearchadminapiqa,WB Enterprise Search Platform,1
isearchadminapidev,WB Enterprise Search Platform,1
isearch4adminapiqa,WB Enterprise Search Platform,1
itsdamasterdatalookupapidev,Self Service Portal,1
itsdaselfdataprtlapiqa,Self Service Portal,1
isearch4adminapi,WB Enterprise Search Platform,1
itsdt-brms-sqlsrvr-prd,Business Role Management System (BRMS),1
itsdt-dataminingspo-sqlsrvr-dev,Knowledge Package,1
itsdt-datacollaboratives-sqlsrvr-dev,Data Portals,1
itsdt-centralcoding-sqlsrvr-qa,WB Enterprise Search Platform,1
itsdt-centralcoding-sqlsrvr-prod-restore1,Central Coding,1
itsdt-centralcoding-sqlsrvr-prod,Central Coding,1
