name,u_switch_portsum,u_switch_portcount
ifcgtsffuncapp,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
ifcgtsfefnApp,"Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),",4
GetExchangeRate,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
UpdateTransactionTrancheObligation,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
UpdateInvoiceAndTransactionOverdue,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
UpdateIFCAndInsuranceBalanceBasedonBR,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
UpdateBuyerIfcExposureAndActualOutstanding,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
UpdateAllTransactionTotalBalanceData,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GenerateNotificationForFirstSecondApprovalAndAmendedTransaction,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GenerateFirstExceptionReport,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
TransactionSystemRollback,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GenerateEmailNotificationForInvoiceMaturity,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GenerateEmailNotificationForApprovedPLTransaction,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
AutoCloseLoanTransaction,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
